key,st,state,baptist family (et),methodist family (et),non-denominational family (et),lutheran family (et),presbyterian (et),pentecostal family (et),episcopalian/anglican family (et),restorationist family (et),congregationalist family (et),holiness family (et),reformed family (et),adventist family (et),anabaptist family (et),pietist family (et),other evangelical,nonspecific protestant family (et),baptist family (mt),methodist family (mt),non-denominational family (mt),lutheran family (mt),presbyterian family (mt),episcopalian/anglican family (mt),restorationist family (mt),congregationalist family (mt),reformed family (mt),anabaptist family (mt),friends family (mt),nonspecific protestant family (mt),baptist family (hbpt),methodist family (hbpt),pentecostal family (hbpt),holiness family (hbpt),non-denominational family (hbpt),nonspecific protestant (hbpt),catholic,mormon-lds,other mormom,greek orthodox,russian orthodox,orthodox church in america,other orthodox christian,jehovah's witness,other christian,jewish,muslim,buddhist,hindu,other world religions,unitarians,new age,native american religions,atheist,agnostic,nothing in particular
38,st49,West Virginia,19,1,4,1,0,7,0,2,0,3,0,2,0,0,0,0,9,12,1,0,3,0,0,0,0,1,0,2,1,0,0,0,1,0,6,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,16
39,st21,Maryland,5,0,5,1,0,3,0,1,0,0,0,1,1,0,0,1,2,5,2,2,1,3,0,0,0,0,0,1,8,3,2,0,0,2,15,1,0,0,0,0,0,0,1,3,1,1,1,0,1,0,0,3,3,17
40,st8,Delaware,7,0,0,0,1,1,0,3,0,0,0,0,0,0,0,1,1,11,0,1,3,2,0,0,0,0,1,2,4,3,1,0,1,0,22,0,0,0,0,0,1,0,0,3,1,0,2,0,0,0,0,2,3,18
41,st39,Pennsylvania,3,0,4,1,2,3,0,1,0,1,0,1,2,0,1,2,2,7,1,5,3,1,0,1,0,0,0,2,4,0,1,0,0,0,24,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0,0,3,4,14
42,st31,New Jersey,3,0,2,0,1,3,0,1,0,0,0,1,0,0,0,1,1,2,0,2,2,2,0,0,0,0,0,2,2,1,1,0,0,1,34,0,0,0,0,0,0,1,0,6,3,0,3,1,1,1,0,2,3,12
43,st33,New York,2,0,2,1,0,2,0,0,0,0,0,1,0,0,0,1,1,3,0,1,1,2,0,0,0,0,0,2,3,0,1,0,0,0,31,0,0,1,0,0,0,1,0,7,2,1,1,0,1,0,0,5,5,17
44,st40,Rhode Island,1,0,2,0,15,0,0,0,0,0,0,0,0,1,0,3,2,3,0,2,0,4,0,0,0,0,0,2,1,0,0,0,0,0,42,0,0,0,0,0,0,2,0,1,0,0,1,1,1,0,0,4,3,13
45,st46,Vermont,4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,3,4,1,1,1,2,0,3,0,0,0,4,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,2,0,1,1,1,3,0,0,7,7,22
46,st30,New Hampshire,4,0,3,3,0,0,0,1,1,0,0,1,0,0,0,0,3,1,0,2,1,3,0,4,0,0,0,3,0,0,0,0,0,0,26,1,0,0,0,0,0,2,0,2,0,0,0,0,2,0,5,7,23,0
47,st7,Connecticut,5,0,1,0,0,3,0,1,0,1,0,0,0,0,0,2,3,2,1,1,1,3,0,5,0,0,0,1,3,0,1,0,0,1,33,1,0,0,0,0,0,0,3,1,1,1,1,0,1,0,0,5,4,14
48,st22,Massachusetts,3,0,1,0,0,2,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,2,0,3,0,0,0,2,1,0,1,0,0,0,34,1,0,1,0,0,0,0,0,3,1,1,1,0,2,0,0,5,7,20
49,st20,Maine,7,1,1,0,2,1,0,0,1,2,0,0,0,0,0,0,5,5,1,0,0,3,0,4,0,1,0,2,0,0,1,0,0,1,21,2,1,0,0,0,0,0,1,2,0,1,0,0,2,2,0,2,4,24
50,st9,District of Columbia,6,0,2,1,1,3,0,0,0,0,0,1,0,0,0,1,13,1,1,2,4,0,0,0,0,0,0,2,8,2,1,0,0,1,19,1,0,1,1,0,0,0,1,4,2,2,1,0,1,0,4,4,16,0
